"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"Active",0.22,-0.032,-0.049,-0.032,0.34,-0.3,-0.098,-0.26,-0.17,-0.16,0.08,0.27,0.32,-0.067,-0.4,0.28
"Reinfs",0.24,-0.0097,-0.051,-0.044,0.36,-0.33,-0.099,-0.24,-0.17,-0.16,0.091,0.29,0.36,-0.069,-0.44,0.29
"VR5rate",0.22,-0.0027,-0.035,-0.048,0.31,-0.3,-0.093,-0.23,-0.17,-0.11,0.12,0.23,0.34,-0.027,-0.38,0.25
"VR5rateD1",0.24,-0.015,-0.027,-0.013,0.31,-0.31,-0.081,-0.25,-0.18,-0.13,0.078,0.25,0.35,-0.029,-0.41,0.25
"VR5rateD2",0.2,0.0071,-0.055,-0.062,0.29,-0.31,-0.091,-0.2,-0.15,-0.11,0.13,0.22,0.33,-0.016,-0.37,0.25
"VR5rateD3",0.21,-0.0023,-0.02,-0.055,0.29,-0.25,-0.094,-0.22,-0.16,-0.075,0.12,0.2,0.31,-0.033,-0.34,0.23
"All_6_firstCP_X",-0.14,-0.05,0.15,0.053,-0.16,0.4,0.12,0.14,0.2,0.11,-0.25,-0.15,-0.36,0.04,0.38,-0.27
"All_6_firstCP_Y",0.14,0.18,-0.051,-0.058,0.19,-0.22,0.045,-0.21,-0.11,-0.23,0.12,0.07,0.39,0.069,-0.26,0.19
"ActiveBC",0.27,0.064,-0.045,-0.078,0.4,-0.35,-0.16,-0.21,-0.18,-0.18,0.16,0.3,0.43,-0.073,-0.49,0.3
"ReinfsBC",0.27,0.066,-0.049,-0.08,0.4,-0.36,-0.16,-0.2,-0.18,-0.18,0.16,0.3,0.44,-0.072,-0.49,0.3
"VR5rateBC",0.28,-0.029,-0.0086,-0.054,0.4,-0.31,-0.12,-0.26,-0.17,-0.14,0.085,0.29,0.37,-0.084,-0.46,0.26
"VR5rateD1BC",0.25,-0.01,-0.019,-0.0083,0.34,-0.31,-0.07,-0.27,-0.18,-0.16,0.051,0.28,0.36,-0.039,-0.43,0.25
"VR5rateD2BC",0.26,-0.019,-0.036,-0.081,0.39,-0.34,-0.12,-0.23,-0.13,-0.15,0.11,0.29,0.36,-0.077,-0.45,0.27
"VR5rateD3BC",0.25,-0.041,-0.013,-0.054,0.38,-0.28,-0.1,-0.25,-0.17,-0.11,0.074,0.28,0.33,-0.088,-0.41,0.26
"All_6_firstCP_X_BC",-0.099,0.0045,0.013,0.032,-0.082,0.15,0.082,-0.069,0.083,-0.023,-0.23,0.028,-0.12,0.03,0.14,-0.061
"All_6_firstCP_Y_BC",0.16,0.12,0.025,-0.029,0.22,-0.14,0.00056,-0.35,-0.09,-0.23,-0.067,0.17,0.33,0.026,-0.28,0.15
