"","hub_genes","GS1.FilterGenes.","datKME.MM.salmon.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"1","ILMN_1216812",0.393115482918486,0.827021183232378,"NAPA"
"2","ILMN_1216822",0.493394889682216,0.816222376405736,"INSIG2"
"3","ILMN_1227225",-0.334823686317812,-0.844900787880691,"TRIM28"
"4","ILMN_1227899",0.450143089599401,0.824577270634175,"PPP3CA"
"5","ILMN_1228783",-0.469113533104596,-0.830445950374484,"LOC100043986"
"6","ILMN_1231873",0.367193650750065,0.847609987269052,"TMED2"
"7","ILMN_1235440",0.35219603937904,0.84109794310843,"TRAPPC2"
"8","ILMN_1237640",0.492652448918626,0.857955632344527,"CNIH"
"9","ILMN_1241196",0.307499405543441,0.938273849657976,"ERGIC2"
"10","ILMN_1245609",-0.390739955418871,-0.814654631752846,"SGPL1"
"11","ILMN_1248368",0.343806049428592,0.819830894786027,"MAT2A"
"12","ILMN_1249227",0.463000912410169,0.81590564147107,"SLMAP"
"13","ILMN_2482026",0.518306045690824,0.809162664580916,"UBE2G1"
"14","ILMN_2484147",-0.311490429088814,-0.868038008319509,"TRO"
"15","ILMN_2593368",0.397773943305754,0.835674580260347,"MAT2A"
"16","ILMN_2595387",-0.35875223922487,-0.808807653698078,"RNF31"
"17","ILMN_2609182",0.377647774231096,0.819313749330264,"2900062L11RIK"
"18","ILMN_2626547",0.429004867848881,0.835361300927077,"PMM2"
"19","ILMN_2630939",0.308933936011757,0.813922891292702,"NT5C2"
"20","ILMN_2636755",0.421996221071299,0.920769740726813,"ASNS"
"21","ILMN_2647627",0.440719888990913,0.8020588059862,"PPP1CB"
"22","ILMN_2650812",0.415481092902592,0.814059602170821,"GDI2"
"23","ILMN_2668243",0.286780836029982,0.855559069660271,"METAP2"
"24","ILMN_2689274",-0.331177701327012,-0.838374675862593,"DYNC1H1"
"25","ILMN_2689473",0.353552211532934,0.860033415897629,"ACADL"
"26","ILMN_2699167",0.394214458745401,0.808980154314985,"LOC100046918"
"27","ILMN_2699645",0.398994960433135,0.890297435893607,"RTN4"
"28","ILMN_2703354",0.28852459968243,0.809777289321036,"ACTR10"
"29","ILMN_2703392",-0.302766645414278,-0.804070405427709,"LOC100047937"
"30","ILMN_2734028",0.370561504222414,0.922921348009692,"TANK"
"31","ILMN_2740432",0.354000183703902,0.822268787213795,"LOC100043391"
"32","ILMN_2750850",0.304182773867128,0.811091004256136,"SPAG9"
"33","ILMN_2774140",0.488034142335646,0.928436150095378,"TCP1"
"34","ILMN_2776876",0.461573152599399,0.82057832468467,"RPRD1A"
"35","ILMN_2992239",0.352486611921641,0.801401028942133,"AMD2"
"36","ILMN_3149251",0.418889839435463,0.804853311429719,"LGSN"
"37","ILMN_3155180",-0.441528793925107,-0.848399594439753,"ITPR2"
